id_cliente;edad;importe_solicitado;duracion_credito;antiguedad_empleado;situacion_vivienda;ingresos;objetivo_credito;pct_ingreso;tasa_interes;estado_credito;falta_pago
713061558.0;22;35000;3;123.0;ALQUILER;59000;PERSONAL;0.59;16.02;1;Y
768805383.0;21;1000;2;5.0;PROPIA;9600;EDUCACIÓN;0.1;11.14;0;N
818770008.0;25;5500;3;1.0;HIPOTECA;9600;SALUD;0.57;12.87;1;N
713982108.0;23;35000;2;4.0;ALQUILER;65500;SALUD;0.53;15.23;1;N
710821833.0;24;35000;4;8.0;ALQUILER;54400;SALUD;0.55;14.27;1;Y
769911858.0;21;2500;2;2.0;PROPIA;9900;INVERSIONES;0.25;7.14;1;N
709106358.0;26;35000;3;8.0;ALQUILER;77100;EDUCACIÓN;0.45;12.42;1;N
810347208.0;24;35000;4;5.0;ALQUILER;78956;SALUD;0.44;11.11;1;N
818906208.0;24;35000;2;8.0;ALQUILER;83000;PERSONAL;0.42;8.9;1;N
710930508.0;21;1600;3;6.0;PROPIA;10000;INVERSIONES;0.16;14.74;1;N
719661558.0;22;35000;4;6.0;ALQUILER;85000;INVERSIONES;0.41;10.37;1;N
708790833.0;21;4500;2;2.0;PROPIA;10000;MEJORAS_HOGAR;0.45;8.63;1;N
710599683.0;23;35000;2;2.0;ALQUILER;95000;INVERSIONES;0.37;7.9;1;N
816082233.0;26;35000;4;4.0;ALQUILER;108160;EDUCACIÓN;0.32;18.39;1;N
712396908.0;23;35000;4;2.0;ALQUILER;115000;EDUCACIÓN;0.3;7.9;0;N
714885258.0;23;30000;3;7.0;HIPOTECA;500000;PAGO_DEUDAS;0.06;10.65;0;N
709967358.0;23;35000;4;0.0;ALQUILER;120000;EDUCACIÓN;0.29;7.9;0;N
753327333.0;23;35000;4;7.0;ALQUILER;92111;SALUD;0.32;20.25;1;N
806160108.0;23;35000;4;8.0;ALQUILER;113000;PAGO_DEUDAS;0.31;18.25;1;N
709327383.0;24;1750;2;8.0;HIPOTECA;10800;EDUCACIÓN;0.16;10.99;1;N
806165208.0;25;35000;4;2.0;ALQUILER;162500;INVERSIONES;0.22;7.49;0;N
708508758.0;25;34800;2;9.0;ALQUILER;137000;PERSONAL;0.25;16.77;0;Y
784725333.0;22;34000;4;4.0;ALQUILER;65000;EDUCACIÓN;0.52;17.58;1;N
811604133.0;24;1500;3;0.0;PROPIA;10980;PERSONAL;0.14;7.29;0;N
789124683.0;22;33950;4;3.0;ALQUILER;80000;PERSONAL;0.42;14.54;1;Y
771071958.0;24;33000;3;8.0;ALQUILER;67746;MEJORAS_HOGAR;0.49;12.68;1;N
788658483.0;21;4575;3;3.0;HIPOTECA;11000;INVERSIONES;0.42;17.74;1;Y
720466383.0;23;1400;3;0.0;PROPIA;11000;PERSONAL;0.13;9.32;0;N
804424383.0;24;32500;3;6.0;ALQUILER;65000;MEJORAS_HOGAR;0.5;9.99;1;N
