id_cliente;antiguedad_cliente;estado_civil;estado_cliente;gastos_ult_12m;genero;limite_credito_tc;nivel_educativo;nivel_tarjeta;operaciones_ult_12m;personas_a_cargo
713061558.0;36.0;CASADO;ACTIVO;1088.0;M;4010.0;UNIVERSITARIO_COMPLETO;Blue;24.0;2.0
768805383.0;39.0;CASADO;ACTIVO;1144.0;M;12691.0;SECUNDARIO_COMPLETO;Blue;42.0;3.0
818770008.0;44.0;SOLTERO;ACTIVO;1291.0;F;8256.0;UNIVERSITARIO_COMPLETO;Blue;33.0;5.0
713982108.0;36.0;CASADO;ACTIVO;1887.0;M;3418.0;UNIVERSITARIO_COMPLETO;Blue;20.0;3.0
710821833.0;54.0;CASADO;ACTIVO;1314.0;M;9095.0;DESCONOCIDO;Blue;26.0;1.0
769911858.0;34.0;DESCONOCIDO;ACTIVO;1171.0;F;3313.0;SECUNDARIO_COMPLETO;Blue;20.0;4.0
709106358.0;21.0;CASADO;ACTIVO;816.0;M;4716.0;UNIVERSITARIO_INCOMPLETO;Blue;28.0;3.0
810347208.0;46.0;CASADO;ACTIVO;1330.0;M;34516.0;DESCONOCIDO;Gold;31.0;4.0
818906208.0;27.0;DESCONOCIDO;ACTIVO;1538.0;M;29081.0;SECUNDARIO_COMPLETO;Silver;36.0;0.0
710930508.0;36.0;SOLTERO;ACTIVO;1350.0;M;22352.0;UNIVERSITARIO_INCOMPLETO;Blue;24.0;3.0
719661558.0;36.0;SOLTERO;ACTIVO;1441.0;M;11656.0;UNIVERSITARIO_COMPLETO;Blue;32.0;2.0
708790833.0;31.0;DESCONOCIDO;ACTIVO;1201.0;M;6748.0;UNIVERSITARIO_INCOMPLETO;Blue;42.0;5.0
710599683.0;36.0;SOLTERO;ACTIVO;1539.0;M;11751.0;UNIVERSITARIO_INCOMPLETO;Blue;17.0;1.0
816082233.0;30.0;DESCONOCIDO;ACTIVO;1311.0;M;8547.0;UNIVERSITARIO_COMPLETO;Blue;33.0;3.0
712396908.0;48.0;CASADO;ACTIVO;1570.0;F;2436.0;UNIVERSITARIO_COMPLETO;Blue;29.0;2.0
714885258.0;37.0;DESCONOCIDO;ACTIVO;1348.0;M;4234.0;DESCONOCIDO;Blue;27.0;4.0
709967358.0;36.0;SOLTERO;ACTIVO;1671.0;M;30367.0;POSGRADO_INCOMPLETO;Blue;27.0;4.0
753327333.0;34.0;CASADO;ACTIVO;1028.0;M;13535.0;DESCONOCIDO;Blue;21.0;3.0
806160108.0;56.0;CASADO;ACTIVO;1336.0;M;3193.0;SECUNDARIO_COMPLETO;Blue;30.0;1.0
709327383.0;37.0;CASADO;ACTIVO;1207.0;F;14470.0;UNIVERSITARIO_COMPLETO;Blue;21.0;2.0
806165208.0;42.0;DIVORCIADO;ACTIVO;1178.0;M;20979.0;POSGRADO_COMPLETO;Blue;27.0;1.0
708508758.0;49.0;CASADO;PASIVO;692.0;F;1438.3;UNIVERSITARIO_COMPLETO;Blue;16.0;0.0
784725333.0;33.0;CASADO;ACTIVO;931.0;M;4470.0;SECUNDARIO_COMPLETO;Blue;18.0;3.0
811604133.0;36.0;SOLTERO;ACTIVO;1126.0;F;2492.0;DESCONOCIDO;Blue;23.0;4.0
789124683.0;42.0;CASADO;ACTIVO;1110.0;M;12217.0;DESCONOCIDO;Blue;21.0;2.0
771071958.0;28.0;SOLTERO;ACTIVO;1051.0;F;7768.0;UNIVERSITARIO_COMPLETO;Blue;22.0;3.0
788658483.0;38.0;CASADO;ACTIVO;1411.0;F;2650.0;UNIVERSITARIO_INCOMPLETO;Blue;28.0;2.0
720466383.0;46.0;DESCONOCIDO;ACTIVO;1197.0;M;14784.0;SECUNDARIO_COMPLETO;Blue;23.0;1.0
804424383.0;56.0;CASADO;ACTIVO;1904.0;M;10215.0;DESCONOCIDO;Blue;40.0;1.0
715318008.0;36.0;SOLTERO;ACTIVO;1407.0;F;3520.0;UNIVERSITARIO_INCOMPLETO;Blue;43.0;1.0
718813833.0;34.0;SOLTERO;ACTIVO;1052.0;F;10100.0;UNIVERSITARIO_INCOMPLETO;Blue;18.0;3.0
806624208.0;42.0;CASADO;ACTIVO;1045.0;M;4785.0;SECUNDARIO_COMPLETO;Blue;38.0;4.0
778348233.0;33.0;CASADO;ACTIVO;1038.0;M;2753.0;DESCONOCIDO;Blue;25.0;3.0
712991808.0;48.0;CASADO;ACTIVO;1596.0;M;2451.0;UNIVERSITARIO_INCOMPLETO;Blue;26.0;2.0
709029408.0;36.0;CASADO;ACTIVO;1589.0;M;8923.0;UNIVERSITARIO_COMPLETO;Blue;24.0;4.0
787937058.0;49.0;CASADO;ACTIVO;1291.0;M;12555.0;UNIVERSITARIO_COMPLETO;Blue;24.0;0.0
713962233.0;36.0;CASADO;ACTIVO;1877.0;F;3035.0;UNIVERSITARIO_COMPLETO;Blue;37.0;3.0
708300483.0;56.0;CASADO;PASIVO;704.0;F;7882.0;POSGRADO_COMPLETO;Blue;16.0;0.0
778493808.0;37.0;CASADO;ACTIVO;1756.0;M;3906.0;SECUNDARIO_COMPLETO;Blue;32.0;3.0
785432733.0;36.0;CASADO;ACTIVO;966.0;F;15433.0;SECUNDARIO_COMPLETO;Gold;22.0;4.0
715190283.0;49.0;DESCONOCIDO;ACTIVO;1464.0;F;3672.0;UNIVERSITARIO_COMPLETO;Blue;28.0;1.0
827111283.0;41.0;SOLTERO;ACTIVO;1109.0;M;32426.0;UNIVERSITARIO_COMPLETO;Blue;28.0;3.0
758551608.0;44.0;CASADO;ACTIVO;1347.0;M;6205.0;DESCONOCIDO;Blue;28.0;2.0
779471883.0;40.0;CASADO;PASIVO;705.0;F;1438.3;UNIVERSITARIO_COMPLETO;Blue;19.0;1.0
773146383.0;43.0;SOLTERO;ACTIVO;1756.0;F;17304.0;UNIVERSITARIO_INCOMPLETO;Silver;33.0;1.0
720572508.0;28.0;SOLTERO;ACTIVO;1042.0;F;9830.0;UNIVERSITARIO_COMPLETO;Blue;23.0;4.0
712661433.0;30.0;SOLTERO;ACTIVO;1444.0;M;34516.0;UNIVERSITARIO_INCOMPLETO;Blue;28.0;4.0
789172683.0;45.0;CASADO;ACTIVO;1741.0;M;2283.0;POSGRADO_COMPLETO;Blue;27.0;2.0
738406533.0;52.0;CASADO;ACTIVO;1719.0;M;2548.0;POSGRADO_COMPLETO;Blue;27.0;1.0
799723908.0;40.0;CASADO;ACTIVO;1217.0;M;19458.0;SECUNDARIO_COMPLETO;Blue;27.0;3.0
714374133.0;36.0;CASADO;PASIVO;602.0;M;15769.0;UNIVERSITARIO_COMPLETO;Blue;15.0;2.0
714091983.0;34.0;SOLTERO;ACTIVO;1168.0;M;3336.0;SECUNDARIO_COMPLETO;Blue;27.0;2.0
771490833.0;40.0;SOLTERO;ACTIVO;1140.0;M;4745.0;UNIVERSITARIO_INCOMPLETO;Blue;40.0;1.0
720756708.0;41.0;CASADO;ACTIVO;1878.0;F;2622.0;DESCONOCIDO;Blue;30.0;3.0
711525033.0;54.0;CASADO;ACTIVO;1946.0;F;3171.0;SECUNDARIO_COMPLETO;Blue;38.0;0.0
712813458.0;36.0;CASADO;ACTIVO;1414.0;M;19763.0;DESCONOCIDO;Blue;35.0;2.0
717891558.0;36.0;DESCONOCIDO;ACTIVO;1052.0;F;3298.0;UNIVERSITARIO_COMPLETO;Blue;32.0;4.0
716632758.0;36.0;SOLTERO;ACTIVO;1295.0;F;2802.0;UNIVERSITARIO_COMPLETO;Blue;40.0;3.0
768563658.0;50.0;CASADO;ACTIVO;1424.0;M;4458.0;UNIVERSITARIO_INCOMPLETO;Blue;29.0;2.0
712030833.0;35.0;CASADO;PASIVO;691.0;M;34516.0;UNIVERSITARIO_COMPLETO;Silver;15.0;2.0
711427458.0;35.0;CASADO;ACTIVO;1359.0;F;6273.0;UNIVERSITARIO_COMPLETO;Blue;25.0;5.0
787584108.0;47.0;CASADO;ACTIVO;1097.0;M;3436.0;DESCONOCIDO;Blue;33.0;3.0
711481533.0;33.0;DIVORCIADO;ACTIVO;1316.0;M;5926.0;SECUNDARIO_COMPLETO;Blue;28.0;1.0
710082708.0;32.0;SOLTERO;ACTIVO;1276.0;M;23957.0;POSGRADO_INCOMPLETO;Blue;26.0;4.0
708155733.0;44.0;SOLTERO;ACTIVO;1289.0;M;14734.0;SECUNDARIO_COMPLETO;Blue;23.0;2.0
788730933.0;20.0;SOLTERO;ACTIVO;1132.0;F;2084.0;UNIVERSITARIO_INCOMPLETO;Blue;28.0;2.0
788979258.0;38.0;SOLTERO;ACTIVO;1293.0;M;34516.0;UNIVERSITARIO_INCOMPLETO;Silver;32.0;4.0
715971108.0;42.0;SOLTERO;ACTIVO;1550.0;M;34516.0;UNIVERSITARIO_COMPLETO;Blue;41.0;4.0
807986133.0;52.0;CASADO;ACTIVO;1353.0;M;6584.0;UNIVERSITARIO_INCOMPLETO;Blue;35.0;2.0
711314058.0;32.0;CASADO;ACTIVO;1670.0;M;1687.0;UNIVERSITARIO_COMPLETO;Blue;17.0;2.0
717975333.0;38.0;CASADO;ACTIVO;837.0;M;25300.0;POSGRADO_COMPLETO;Blue;15.0;2.0
720096558.0;42.0;CASADO;ACTIVO;1540.0;F;2216.0;UNIVERSITARIO_COMPLETO;Blue;36.0;2.0
804595158.0;36.0;SOLTERO;ACTIVO;1112.0;F;7000.0;UNIVERSITARIO_COMPLETO;Blue;23.0;4.0
719580033.0;43.0;DESCONOCIDO;ACTIVO;1256.0;M;2910.0;UNIVERSITARIO_COMPLETO;Blue;21.0;1.0
820582308.0;37.0;CASADO;ACTIVO;1394.0;M;22913.0;UNIVERSITARIO_INCOMPLETO;Blue;35.0;5.0
789973308.0;35.0;SOLTERO;ACTIVO;1341.0;M;24312.0;UNIVERSITARIO_INCOMPLETO;Blue;24.0;1.0
712876233.0;36.0;SOLTERO;ACTIVO;1289.0;M;5272.0;UNIVERSITARIO_COMPLETO;Blue;33.0;2.0
714826758.0;29.0;SOLTERO;ACTIVO;2339.0;F;7038.0;UNIVERSITARIO_INCOMPLETO;Blue;57.0;3.0
779058108.0;30.0;DIVORCIADO;ACTIVO;1468.0;M;2536.0;UNIVERSITARIO_COMPLETO;Blue;23.0;3.0
710790258.0;38.0;CASADO;ACTIVO;1334.0;M;28904.0;UNIVERSITARIO_COMPLETO;Blue;35.0;2.0
715156383.0;36.0;DESCONOCIDO;ACTIVO;1603.0;M;34516.0;DESCONOCIDO;Blue;29.0;1.0
715623483.0;37.0;CASADO;ACTIVO;1457.0;M;8567.0;UNIVERSITARIO_COMPLETO;Blue;41.0;3.0
755420433.0;52.0;CASADO;ACTIVO;1068.0;F;10133.0;UNIVERSITARIO_COMPLETO;Blue;20.0;1.0
794543958.0;35.0;DIVORCIADO;ACTIVO;1590.0;M;34516.0;UNIVERSITARIO_COMPLETO;Blue;27.0;1.0
716396358.0;47.0;CASADO;ACTIVO;1531.0;M;3085.0;UNIVERSITARIO_COMPLETO;Blue;35.0;2.0
715398033.0;35.0;SOLTERO;ACTIVO;1212.0;M;19040.0;SECUNDARIO_COMPLETO;Blue;31.0;2.0
711743883.0;35.0;SOLTERO;ACTIVO;1237.0;F;4026.0;UNIVERSITARIO_INCOMPLETO;Blue;32.0;3.0
719720058.0;31.0;SOLTERO;ACTIVO;1413.0;M;12756.0;SECUNDARIO_COMPLETO;Blue;14.0;3.0
711013983.0;45.0;CASADO;PASIVO;615.0;F;2158.0;DESCONOCIDO;Blue;12.0;4.0
711887583.0;37.0;CASADO;PASIVO;836.0;M;5449.0;DESCONOCIDO;Blue;18.0;2.0
778992108.0;45.0;CASADO;ACTIVO;1516.0;M;5266.0;DESCONOCIDO;Blue;29.0;2.0
713572683.0;25.0;DESCONOCIDO;ACTIVO;1226.0;M;1862.0;SECUNDARIO_COMPLETO;Blue;34.0;3.0
714070758.0;38.0;SOLTERO;ACTIVO;1564.0;M;31302.0;SECUNDARIO_COMPLETO;Blue;35.0;4.0
717539808.0;36.0;SOLTERO;ACTIVO;1276.0;F;9930.0;SECUNDARIO_COMPLETO;Blue;21.0;2.0
714107958.0;36.0;SOLTERO;ACTIVO;1465.0;M;6576.0;UNIVERSITARIO_COMPLETO;Blue;34.0;1.0
789140283.0;42.0;SOLTERO;ACTIVO;1286.0;M;2664.0;UNIVERSITARIO_COMPLETO;Blue;29.0;0.0
715550508.0;28.0;CASADO;ACTIVO;1312.0;F;2535.0;DESCONOCIDO;Blue;20.0;3.0
719712633.0;52.0;CASADO;ACTIVO;1673.0;M;1709.0;UNIVERSITARIO_COMPLETO;Blue;32.0;1.0
802013583.0;50.0;CASADO;ACTIVO;1158.0;M;9689.0;UNIVERSITARIO_INCOMPLETO;Blue;19.0;3.0
772629333.0;35.0;CASADO;ACTIVO;1313.0;M;3454.0;UNIVERSITARIO_COMPLETO;Blue;30.0;3.0
720336708.0;35.0;CASADO;ACTIVO;1609.0;M;3789.0;POSGRADO_COMPLETO;Blue;42.0;3.0
779155158.0;34.0;CASADO;ACTIVO;1259.0;M;2940.0;UNIVERSITARIO_COMPLETO;Blue;33.0;3.0
779509983.0;36.0;SOLTERO;ACTIVO;1022.0;M;34516.0;POSGRADO_INCOMPLETO;Blue;21.0;2.0
714778833.0;43.0;SOLTERO;ACTIVO;1289.0;F;23032.0;UNIVERSITARIO_INCOMPLETO;Blue;22.0;3.0
713843283.0;34.0;CASADO;ACTIVO;1487.0;F;34516.0;DESCONOCIDO;Silver;26.0;3.0
721091583.0;32.0;SOLTERO;ACTIVO;1298.0;F;3031.0;UNIVERSITARIO_COMPLETO;Blue;15.0;2.0
716657058.0;33.0;CASADO;ACTIVO;1566.0;F;8358.0;POSGRADO_INCOMPLETO;Blue;37.0;4.0
785387883.0;41.0;SOLTERO;ACTIVO;1594.0;F;3788.0;SECUNDARIO_COMPLETO;Blue;47.0;3.0
717929133.0;36.0;CASADO;ACTIVO;1235.0;M;14450.0;UNIVERSITARIO_INCOMPLETO;Blue;30.0;1.0
808284783.0;56.0;CASADO;ACTIVO;1951.0;F;1438.3;DESCONOCIDO;Blue;44.0;1.0
708476808.0;36.0;DIVORCIADO;ACTIVO;1047.0;M;33791.0;DESCONOCIDO;Blue;31.0;4.0
